id,collection_id,collection_name
862,10194,Toy Story Collection
15602,119050,Grumpy Old Men Collection
11862,96871,Father of the Bride Collection
710,645,James Bond Collection
21032,117693,Balto Collection
9273,3167,Ace Ventura Collection
8012,91698,Chili Palmer Collection
9598,9435,Babe Collection
9312,9818,Mortal Kombat Collection
10530,136214,Pocahontas Collection
11525,124935,The Lawnmower Man Collection
10634,43563,Friday Collection
755,10924,From Dusk Till Dawn Collection
9102,122017,Screamers Collection
10874,256377,The Muppet Collection
27793,91430,The Neverending Story Collection
9737,14890,Bad Boys Collection
414,120794,Batman Collection
5894,439053,Brooklyn Cigar Store Collection
8839,8819,Casper Collection
8068,9649,Mexico Trilogy
1572,1570,Die Hard Collection
13552,259398,Teenage Apocalypse Trilogy
9073,9328,Free Willy Collection
9070,286162,Power Rangers Collection
1642,328073,Síť (kolekce)
11980,9068,The Prophecy Collection
10802,247294,Showgirls Collection
10149,439053,Brooklyn Cigar Store Collection
9348,9887,Species Collection
3512,112399,Under Siege Collection
50797,23170,Burnt by the Sun Trilogy
76,123800,Before... Collection
2292,182813,Clerks Collection
8467,96665,Dumb and Dumber Collection
15789,410261,A Goofy Movie Collection
628,217704,The Vampire Chronicles
11,10,Star Wars Collection
63105,286948,Nemesis Collection
527,300546,Once were Warriors Collection
18220,48188,Poison Ivy Collection
110,131,Three Colors Collection
108,131,Three Colors Collection
109,131,Three Colors Collection
22586,144200,Swan Princess Series
11395,53159,The Santa Clause Collection
9059,115142,Tales from the Crypt Collection
193,115570,Star Trek: The Next Generation Collection
3049,3167,Ace Ventura Collection
9331,192492,The Jack Ryan Collection
9495,9436,The Crow Collection
888,351684,The Flintstones (Live-Action) Collection
8587,94032,The Lion King Collection
11596,8581,A Nightmare on Elm Street Collection
854,43072,The Mask Collection
36593,37139,Naked Gun Collection
11011,167985,Richie Rich Collection
1637,43064,Speed Collection
8831,170452,Timecop Collection
11667,261203,Street Fighter
75555,439409,Fear Collection
8011,8050,Highlander Collection
2758,11716,Addams Family Collection
9409,162028,Stakeout Collection
306,85861,Beverly Hills Cop Collection
11310,150156,City Slickers Collection
24257,252313,The Endless Summer Collection
1634,9328,Free Willy Collection
5503,134011,The Fugitive / U.S. Marshals Collection
2019,412680,Hard Target Collection
9255,52988,Hot Shots! Collection
16097,159600,House Party Collection
329,328,Jurassic Park Collection
11231,8580,The Karate Kid Collection
5550,5547,RoboCop Collection
11236,462565,The Secret Garden Collection
8850,105075,The Shadow Collection
78,422837,Blade Runner Collection
9066,224478,The Brady Bunch Collection
771,9888,Home Alone Collection
812,86027,Aladdin Collection
280,528,The Terminator Collection
268,120794,Batman Collection
274,9743,The Hannibal Lecter Anthology
10020,153010,Beauty and the Beast Collection
10824,98580,Candyman Collection
25059,43058,Homeward Bound Collection
11827,141086,Heavy Metal Collection
8766,8917,Hellraiser Collection
19042,140910,All Dogs Go to Heaven Collection
954,87359,Mission: Impossible Collection
8840,169452,DragonHeart Collection
25087,36694,Bloodsport Collection
5801,158391,The Apu Collection
896,158391,The Apu Collection
8072,144146,Lemmy Caution Collection
20762,143766,The Substitute Collection
11687,52888,The Visitors Collection
9323,23026,Ghost in the Shell Collection
532,529,Wallace & Gromit Collection
10547,116661,The Arrival Collection
77771,303969,"Martin Scorsese’s World Cinema Project, Vol. 1"
627,424202,Trainspotting Collection
602,304378,Independence Day Collection
10545,97456,The Hunchback of Notre Dame Collection
9327,86028,The Nutty Professor Collection
12606,224478,The Brady Bunch Collection
10546,9436,The Crow Collection
9431,115142,Tales from the Crypt Collection
10061,115838,Escape From ... Collection
238,230,The Godfather Collection
11134,269098,Police Story Collection
38955,269098,Police Story Collection
19004,19163,The Land Before Time Collection
10987,91361,Halloween Collection
62,4438,The Space Odyssey Series
3529,47814,The Thin Man Collection
10331,261590,Living Dead Collection
39448,242765,In the Line of Duty Collection
10680,10709,The Mighty Ducks Collection
18660,87232,The Apple Dumpling Gang Collection
35115,181496,Davy Crockett Collection
14821,90348,Witch Mountain Collection
14136,12087,Herbie Collection
10869,12087,Herbie Collection
19186,216395,Parent Trap Collection
6878,43058,Homeward Bound Collection
15944,294519,The Shaggy Dog Collection
11224,55419,Cinderella Collection
15947,271668,Caballeros Collection
10948,100970,The Fox and the Hound Collection
11229,355490,Freeway Collection
562,1570,Die Hard Collection
10163,124935,The Lawnmower Man Collection
11238,86027,Aladdin Collection
88,86058,Dirty Dancing Collection
8491,118221,Weekend at Bernie's Collection
402,86336,Basic Instinct Collection
25750,115225,Children of the Corn Collection
11843,937,The Pink Panther (Original) Collection
1103,115838,Escape From ... Collection
11298,174218,The Howling Collection
4480,39460,The Water of the Hills Collection
4481,39460,The Water of the Hills Collection
531,529,Wallace & Gromit Collection
36555,153948,Best of the Best Collection
11455,33071,Cheech & Chong Collection
1891,10,Star Wars Collection
85,84,Indiana Jones Collection
679,8091,Alien Collection
429,48317,The Man With No Name Collection
1892,10,Star Wars Collection
348,8091,Alien Collection
766,1960,Evil Dead Collection
539,119674,Psycho Collection
525,112636,The Blues Brothers Collection
240,230,The Godfather Collection
530,529,Wallace & Gromit Collection
9277,330605,The Sting Collection
218,528,The Terminator Collection
829,359005,The Jake Gittes Collection
765,1960,Evil Dead Collection
105,264,Back to the Future Collection
8009,8050,Highlander Collection
756,55427,Fantasia Collection
11314,173344,Qatsi Collection
89,84,Indiana Jones Collection
8077,8091,Alien Collection
41671,397842,The Amityville Horror Collection
27214,397842,The Amityville Horror Collection
52263,397842,The Amityville Horror Collection
33519,397842,The Amityville Horror Collection
16235,397842,The Amityville Horror Collection
11449,397842,The Amityville Horror Collection
41848,397842,The Amityville Horror Collection
8851,422193,The Blob Collection
229,218406,Frankenstein (Universal Series)
9529,98580,Candyman Collection
7340,257053,Carrie Collection
377,8581,A Nightmare on Elm Street Collection
794,10919,The Omen Collection
145,498,Heart of Gold Collection
199,115570,Star Trek: The Next Generation Collection
9279,307637,Jingle All the Way Collection
17204,105629,Paradise Lost Collection
11674,124916,101 Dalmatians (Live-Action) Collection
1573,1570,Die Hard Collection
152,151,Star Trek: The Original Series Collection
174,151,Star Trek: The Original Series Collection
172,151,Star Trek: The Original Series Collection
154,151,Star Trek: The Original Series Collection
157,151,Star Trek: The Original Series Collection
168,151,Star Trek: The Original Series Collection
364,120794,Batman Collection
11967,9329,Young Guns Collection
