budget,id,original_language,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,release_year,return
30000000,862,en,21.946943,1995-10-30,373554033.0,81,Released,Toy Story,7.7,5415.0,1995,12.45
65000000,8844,en,17.015539,1995-12-15,262797249.0,104,Released,Jumanji,6.9,2413.0,1995,4.04
0,15602,en,11.7129,1995-12-22,0.0,101,Released,Grumpier Old Men,6.5,92.0,1995,0
16000000,31357,en,3.859495,1995-12-22,81452156.0,127,Released,Waiting to Exhale,6.1,34.0,1995,5.09
0,11862,en,8.387519,1995-02-10,76578911.0,106,Released,Father of the Bride Part II,5.7,173.0,1995,0
60000000,949,en,17.924927,1995-12-15,187436818.0,170,Released,Heat,7.7,1886.0,1995,3.12
58000000,11860,en,6.677277,1995-12-15,0.0,127,Released,Sabrina,6.2,141.0,1995,0
0,45325,en,2.561161,1995-12-22,0.0,97,Released,Tom and Huck,5.4,45.0,1995,0
35000000,9091,en,5.23158,1995-12-22,64350171.0,106,Released,Sudden Death,5.5,174.0,1995,1.84
58000000,710,en,14.686036,1995-11-16,352194034.0,130,Released,GoldenEye,6.6,1194.0,1995,6.07
62000000,9087,en,6.318445,1995-11-17,107879496.0,106,Released,The American President,6.5,199.0,1995,1.74
0,12110,en,5.430331,1995-12-22,0.0,88,Released,Dracula: Dead and Loving It,5.7,210.0,1995,0
0,21032,en,12.140733,1995-12-22,11348324.0,78,Released,Balto,7.1,423.0,1995,0
44000000,10858,en,5.092,1995-12-22,13681765.0,192,Released,Nixon,7.1,72.0,1995,0.31
98000000,1408,en,7.284477,1995-12-22,10017322.0,119,Released,Cutthroat Island,5.7,137.0,1995,0.1
52000000,524,en,10.137389,1995-11-22,116112375.0,178,Released,Casino,7.8,1343.0,1995,2.23
16500000,4584,en,10.673167,1995-12-13,135000000.0,136,Released,Sense and Sensibility,7.2,364.0,1995,8.18
4000000,5,en,9.026586,1995-12-09,4300000.0,98,Released,Four Rooms,6.5,539.0,1995,1.07
30000000,9273,en,8.205448,1995-11-10,212385533.0,90,Released,Ace Ventura: When Nature Calls,6.1,1128.0,1995,7.08
60000000,11517,en,7.337906,1995-11-21,35431113.0,103,Released,Money Train,5.4,224.0,1995,0.59
30250000,8012,en,12.669608,1995-10-20,115101622.0,105,Released,Get Shorty,6.4,305.0,1995,3.81
0,1710,en,10.701801,1995-10-27,0.0,124,Released,Copycat,6.5,199.0,1995,0
50000000,9691,en,11.065939,1995-10-06,30303072.0,132,Released,Assassins,6.0,394.0,1995,0.61
0,12665,en,12.133094,1995-10-27,0.0,111,Released,Powder,6.3,143.0,1995,0
3600000,451,en,10.332025,1995-10-27,49800000.0,112,Released,Leaving Las Vegas,7.1,365.0,1995,13.83
0,16420,en,1.845899,1995-12-15,0.0,123,Released,Othello,7.0,33.0,1995,0
12000000,9263,en,8.681325,1995-10-20,27400000.0,100,Released,Now and Then,6.6,91.0,1995,2.28
0,17015,en,2.228434,1995-09-27,0.0,104,Released,Persuasion,7.4,36.0,1995,0
18000000,902,fr,9.822423,1995-05-16,1738611.0,108,Released,The City of Lost Children,7.6,308.0,1995,0.1
0,37557,zh,1.100915,1995-04-30,0.0,108,Released,Shanghai Triad,6.5,17.0,1995,0
0,9909,en,9.481338,1995-08-11,180000000.0,99,Released,Dangerous Minds,6.4,249.0,1995,0
29500000,63,en,12.297305,1995-12-29,168840000.0,129,Released,Twelve Monkeys,7.4,2470.0,1995,5.72
0,78802,fr,0.745542,1996-09-18,0.0,50,Released,Wings of Courage,6.8,4.0,1996,0
30000000,9598,en,14.404764,1995-07-18,254134910.0,89,Released,Babe,6.0,756.0,1995,8.47
0,47018,en,1.493361,1995-11-08,0.0,121,Released,Carrington,6.4,16.0,1995,0
11000000,687,en,6.891317,1995-12-29,39363635.0,122,Released,Dead Man Walking,7.3,350.0,1995,3.58
0,139405,en,0.114469,1995-10-20,0.0,51,Released,Across the Sea of Time,3.5,2.0,1995,0
0,33689,en,7.777735,1995-11-17,0.0,101,Released,It Takes Two,6.1,149.0,1995,0
12000000,9603,en,9.882383,1995-07-19,0.0,97,Released,Clueless,6.9,828.0,1995,0
0,34615,en,0.894647,1995-12-15,676525.0,106,Released,"Cry, the Beloved Country",6.7,13.0,1995,0
0,31174,en,4.561387,1995-12-29,0.0,104,Released,Richard III,6.9,50.0,1995,0
10000000,11443,en,9.87957,1995-10-06,0.0,119,Released,Dead Presidents,6.6,80.0,1995,0
19000000,35196,en,10.979269,1995-12-29,0.0,117,Released,Restoration,6.3,30.0,1995,0
18000000,9312,en,10.870138,1995-08-18,122195920.0,101,Released,Mortal Kombat,5.4,452.0,1995,6.79
20000000,577,en,10.448481,1995-05-20,21284514.0,106,Released,To Die For,6.7,177.0,1995,1.06
10000000,11861,en,4.485958,1995-10-06,23574130.0,116,Released,How To Make An American Quilt,6.5,38.0,1995,2.36
33000000,807,en,18.45743,1995-09-22,327311859.0,127,Released,Se7en,8.1,5915.0,1995,9.92
55000000,10530,en,13.280069,1995-06-14,346079773.0,81,Released,Pocahontas,6.7,1509.0,1995,6.29
0,8391,en,3.302524,1995-05-05,0.0,96,Released,When Night Is Falling,5.9,10.0,1995,0
6000000,629,en,16.302466,1995-07-19,23341568.0,106,Released,The Usual Suspects,8.1,3334.0,1995,3.89
0,117164,en,0.595949,1994-11-22,0.0,93,Released,Guardian Angel,6.3,3.0,1994,0
15000000,11448,en,15.899134,1995-09-13,6700000.0,95,Released,Mighty Aphrodite,6.7,145.0,1995,0.45
0,49133,it,1.361286,1994-01-01,0.0,116,Released,Lamerica,7.7,11.0,1994,0
0,26441,en,5.982764,1995-09-29,0.0,100,Released,The Big Green,5.2,41.0,1995,0
0,97406,en,4.093443,1995-05-19,0.0,115,Released,Georgia,6.1,15.0,1995,0
0,124057,en,0.307075,1997-07-08,0.0,89,Released,Kids of the Round Table,3.0,1.0,1997,0
0,9089,en,8.416802,1995-11-02,17519169.0,103,Released,Home for the Holidays,6.3,39.0,1995,0
0,11010,it,10.168437,1994-09-22,0.0,108,Released,The Postman,7.6,181.0,1994,0
0,99040,fr,0.120789,1995-09-29,0.0,100,Released,The Confessional,6.5,2.0,1995,0
45000000,11359,en,10.673296,1995-07-14,0.0,96,Released,The Indian in the Cupboard,5.9,136.0,1995,0
20000000,17182,en,4.733526,1996-01-12,0.0,101,Released,Eye for an Eye,5.8,65.0,1996,0
0,2054,en,7.137117,1995-12-29,106269971.0,137,Released,Mr. Holland's Opus,6.9,115.0,1995,0
0,10607,en,11.700115,1996-01-12,0.0,89,Released,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192.0,1996,0
0,19760,en,2.174487,1996-01-12,0.0,96,Released,Two If by Sea,4.5,14.0,1996,0
15000000,9536,en,6.387469,1996-01-12,0.0,88,Released,Bio-Dome,4.4,110.0,1996,0
0,11525,en,2.49535,1996-01-12,2409225.0,92,Released,Lawnmower Man 2: Beyond Cyberspace,2.8,32.0,1996,0
0,40628,en,4.046208,1995-10-22,0.0,85,Released,Two Bits,5.4,11.0,1995,0
0,4482,fr,2.518051,1995-02-08,0.0,95,Released,French Twist,6.0,43.0,1995,0
3500000,10634,en,14.56965,1995-04-26,28215918.0,91,Released,Friday,7.0,513.0,1995,8.06
19000000,755,en,15.339153,1996-01-19,25836616.0,108,Released,From Dusk Till Dawn,6.9,1644.0,1996,1.36
50000000,11859,en,5.912223,1995-11-03,11534477.0,91,Released,Fair Game,4.1,54.0,1995,0.23
0,28387,en,3.367276,1995-10-06,718490.0,96,Released,Kicking and Screaming,7.0,36.0,1995,0
0,48750,fr,1.479446,1995-03-22,0.0,175,Released,Les Miserables,6.6,8.0,1995,0
0,20927,en,10.412194,1996-01-26,19030691.0,87,Released,Bed of Roses,5.1,27.0,1996,0
15000000,36929,en,2.936443,1996-01-26,2042530.0,90,Released,Big Bully,3.9,16.0,1996,0.14
20000000,9102,en,12.758848,1995-09-08,5781885.0,108,Released,Screamers,6.1,154.0,1995,0.29
0,124626,en,0.133893,1995-02-18,0.0,70,Released,Nico Icon,7.3,3.0,1995,0
0,27526,en,5.756462,1995-11-15,0.0,111,Released,The Crossing Guard,6.1,74.0,1995,0
44000000,9623,en,6.010579,1996-02-02,0.0,118,Released,The Juror,5.5,91.0,1996,0
0,46785,fa,1.196256,1995-01-01,0.0,85,Released,The White Balloon,7.5,20.0,1995,0
8000000,400,en,4.486179,1995-12-01,529766.0,116,Released,Things to Do in Denver When You're Dead,6.7,87.0,1995,0.07
900000,880,nl,2.030174,1995-09-12,0.0,102,Released,Antonia's Line,7.2,26.0,1995,0
0,146599,en,0.252287,1996-01-26,0.0,115,Released,Once Upon a Time... When We Were Colored,4.5,2.0,1996,0
0,188588,en,0.531159,1995-11-22,0.0,108,Released,Last Summer in the Hamptons,0.0,0.0,1995,0
0,8447,en,2.15166,1995-09-10,0.0,118,Released,Angels and Insects,6.3,17.0,1995,0
38000000,10534,en,9.568604,1996-02-02,10300000.0,129,Released,White Squall,6.3,86.0,1996,0.27
16000000,17414,en,4.814825,1996-01-12,0.0,88,Released,Dunston Checks In,5.1,59.0,1996,0
0,13997,en,8.963037,1996-02-01,32.0,87,Released,Black Sheep,6.0,124.0,1996,0
8169363,2086,en,6.848591,1995-11-22,8175346.0,90,Released,Nick of Time,6.1,190.0,1995,1
0,61548,en,0.411424,1995-09-14,0.0,91,Released,The Journey of August King,6.7,3.0,1995,0
47000000,9095,en,12.866139,1996-02-23,12379402.0,104,Released,Mary Reilly,5.7,77.0,1996,0.26
14000000,12158,en,9.071127,1995-10-26,19800000.0,100,Released,Vampire in Brooklyn,4.5,113.0,1995,1.41
0,9283,en,4.670562,1996-02-09,0.0,112,Released,Beautiful Girls,6.6,103.0,1996,0
50000000,9208,en,14.957626,1996-02-09,150270147.0,108,Released,Broken Arrow,5.7,459.0,1996,3.01
0,40154,en,0.513391,1995-12-01,0.0,99,Released,A Midwinter's Tale,7.5,6.0,1995,0
3000000,406,fr,12.108196,1995-05-31,0.0,98,Released,La Haine,7.9,695.0,1995,0
0,45549,en,2.657647,1994-12-06,0.0,105,Released,Shopping,5.6,13.0,1994,0
0,63076,en,0.638211,1995-12-27,0.0,106,Released,Heidi Fleiss: Hollywood Madam,6.8,4.0,1995,0
0,11062,en,4.807223,1996-02-16,0.0,111,Released,City Hall,6.0,67.0,1996,0
7000000,13685,en,6.904831,1996-02-21,560069.0,91,Released,Bottle Rocket,6.8,285.0,1996,0.08
0,47475,en,3.329264,1996-02-16,0.0,96,Released,Mr. Wrong,3.3,16.0,1996,0
18000000,2045,en,2.464425,1996-02-23,0.0,106,Released,Unforgettable,5.3,22.0,1996,0
12000000,9614,en,9.592265,1996-02-16,41205099.0,92,Released,Happy Gilmore,6.5,767.0,1996,3.43
24000000,688,en,5.951077,1995-05-28,182016617.0,135,Released,The Bridges of Madison County,7.3,397.0,1995,7.58
0,11907,de,1.015068,1994-11-07,0.0,104,Released,Nobody Loves Me,5.1,5.0,1994,0
0,10874,en,6.902423,1996-02-16,34327391.0,100,Released,Muppet Treasure Island,6.5,93.0,1996,0
0,89333,en,0.976707,1995-12-08,0.0,95,Released,Catwalk,7.0,2.0,1995,0
0,96357,en,0.001346,1995-05-20,0.0,110,Released,Headless Body in Topless Bar,0.0,0.0,1995,0
72000000,197,en,20.755149,1995-05-24,210000000.0,177,Released,Braveheart,7.7,3404.0,1995,2.92
1300000,103,en,14.092713,1976-02-07,28262574.0,114,Released,Taxi Driver,8.1,2632.0,1976,21.74
7500000,33542,cn,12.314278,1995-01-30,32392047.0,91,Released,Rumble in the Bronx,6.5,245.0,1995,4.32
35000000,43566,en,2.938293,1996-02-23,0.0,108,Released,Before and After,5.8,37.0,1996,0
0,71754,en,0.372697,1995-09-13,0.0,114,Released,Margaret's Museum,7.5,2.0,1995,0
13365000,43612,en,1.254885,1995-01-31,0.0,106,Released,Happiness Is in the Field,7.0,23.0,1995,0
0,51352,en,0.243986,1995-06-08,1.0,117,Released,Anne Frank Remembered,7.3,4.0,1995,0
0,16934,en,6.178497,1995-01-20,0.0,99,Released,The Young Poisoner's Handbook,6.9,19.0,1995,0
0,10324,en,2.891918,1996-03-08,0.0,92,Released,If Lucy Fell,5.4,11.0,1996,0
25000000,78406,en,1.522412,1995-09-29,6278139.0,113,Released,Steal Big Steal Little,5.1,7.0,1995,0.25
0,55731,en,1.317878,1996-03-22,0.0,100,Released,Race the Sun,5.2,21.0,1996,0
0,32119,en,0.86539,1992-12-06,0.0,90,Released,The Boys of St. Vincent,7.0,7.0,1992,0
40000000,11066,en,6.506983,1992-06-30,70100000.0,117,Released,Boomerang,5.4,139.0,1992,1.75
