id,language_abrev,language_movie
862,en,English
8844,en,English
8844,fr,Français
15602,en,English
31357,en,English
11862,en,English
949,en,English
949,es,Español
11860,fr,Français
11860,en,English
45325,en,English
45325,de,Deutsch
9091,en,English
710,en,English
710,ru,Pусский
710,es,Español
9087,en,English
12110,en,English
12110,de,Deutsch
21032,en,English
10858,en,English
1408,en,English
1408,la,Latin
524,en,English
4584,en,English
5,en,English
9273,en,English
11517,en,English
8012,en,English
1710,en,English
1710,de,Deutsch
9691,en,English
9691,es,Español
9691,nl,Nederlands
12665,en,English
451,en,English
16420,en,English
9263,en,English
17015,en,English
902,cn,广州话 / 廣州話
902,fr,Français
37557,zh,普通话
9909,en,English
63,en,English
63,fr,Français
78802,en,English
9598,en,English
47018,en,English
687,en,English
139405,ru,Pусский
139405,en,English
33689,en,English
9603,es,Español
9603,en,English
34615,en,English
31174,en,English
11443,en,English
35196,en,English
35196,es,Español
9312,en,English
577,en,English
11861,en,English
807,en,English
10530,en,English
8391,en,English
629,es,Español
629,en,English
629,fr,Français
629,hu,Magyar
11448,en,English
49133,sq,shqip
49133,it,Italiano
26441,en,English
26441,de,Deutsch
97406,en,English
124057,en,English
9089,en,English
9089,es,Español
11010,it,Italiano
11010,es,Español
99040,en,English
99040,fr,Français
11359,en,English
17182,en,English
17182,fr,Français
17182,ko,한국어/조선말
17182,es,Español
2054,en,English
10607,en,English
10607,es,Español
19760,en,English
9536,en,English
9536,ru,Pусский
11525,en,English
11525,hu,Magyar
40628,en,English
4482,fr,Français
4482,es,Español
10634,en,English
755,en,English
755,es,Español
11859,en,English
11859,es,Español
28387,en,English
48750,fr,Français
20927,en,English
36929,en,English
9102,en,English
124626,de,Deutsch
124626,en,English
27526,en,English
9623,en,English
46785,fa,فارسی
400,en,English
880,nl,Nederlands
146599,en,English
8447,en,English
10534,da,Dansk
10534,en,English
10534,fr,Français
10534,de,Deutsch
17414,en,English
17414,fr,Français
17414,ru,Pусский
13997,en,English
2086,en,English
61548,en,English
9095,en,English
12158,en,English
9283,en,English
9208,en,English
40154,en,English
406,fr,Français
45549,en,English
