id,id_genre,genre
862,16.0,Animation
862,35.0,Comedy
862,10751.0,Family
8844,12.0,Adventure
8844,14.0,Fantasy
8844,10751.0,Family
15602,10749.0,Romance
15602,35.0,Comedy
31357,35.0,Comedy
31357,18.0,Drama
31357,10749.0,Romance
11862,35.0,Comedy
949,28.0,Action
949,80.0,Crime
949,18.0,Drama
949,53.0,Thriller
11860,35.0,Comedy
11860,10749.0,Romance
45325,28.0,Action
45325,12.0,Adventure
45325,18.0,Drama
45325,10751.0,Family
9091,28.0,Action
9091,12.0,Adventure
9091,53.0,Thriller
710,12.0,Adventure
710,28.0,Action
710,53.0,Thriller
9087,35.0,Comedy
9087,18.0,Drama
9087,10749.0,Romance
12110,35.0,Comedy
12110,27.0,Horror
21032,10751.0,Family
21032,16.0,Animation
21032,12.0,Adventure
10858,36.0,History
10858,18.0,Drama
1408,28.0,Action
1408,12.0,Adventure
524,18.0,Drama
524,80.0,Crime
4584,18.0,Drama
4584,10749.0,Romance
5,80.0,Crime
5,35.0,Comedy
9273,80.0,Crime
9273,35.0,Comedy
9273,12.0,Adventure
11517,28.0,Action
11517,35.0,Comedy
11517,80.0,Crime
8012,35.0,Comedy
8012,53.0,Thriller
8012,80.0,Crime
1710,18.0,Drama
1710,53.0,Thriller
9691,28.0,Action
9691,12.0,Adventure
9691,80.0,Crime
9691,53.0,Thriller
12665,18.0,Drama
12665,14.0,Fantasy
12665,878.0,Science Fiction
12665,53.0,Thriller
451,18.0,Drama
451,10749.0,Romance
16420,18.0,Drama
9263,35.0,Comedy
9263,18.0,Drama
9263,10751.0,Family
17015,18.0,Drama
17015,10749.0,Romance
902,14.0,Fantasy
902,878.0,Science Fiction
902,12.0,Adventure
37557,18.0,Drama
37557,80.0,Crime
9909,18.0,Drama
9909,80.0,Crime
63,878.0,Science Fiction
63,53.0,Thriller
63,9648.0,Mystery
78802,10749.0,Romance
78802,12.0,Adventure
9598,14.0,Fantasy
9598,18.0,Drama
9598,35.0,Comedy
9598,10751.0,Family
47018,36.0,History
47018,18.0,Drama
47018,10749.0,Romance
687,18.0,Drama
139405,12.0,Adventure
139405,36.0,History
139405,18.0,Drama
139405,10751.0,Family
33689,35.0,Comedy
33689,10751.0,Family
33689,10749.0,Romance
9603,35.0,Comedy
9603,18.0,Drama
9603,10749.0,Romance
34615,18.0,Drama
31174,18.0,Drama
31174,10752.0,War
11443,28.0,Action
11443,80.0,Crime
11443,18.0,Drama
11443,36.0,History
35196,18.0,Drama
35196,10749.0,Romance
9312,28.0,Action
9312,14.0,Fantasy
577,14.0,Fantasy
577,18.0,Drama
577,35.0,Comedy
577,53.0,Thriller
11861,18.0,Drama
11861,10749.0,Romance
807,80.0,Crime
807,9648.0,Mystery
807,53.0,Thriller
10530,12.0,Adventure
10530,16.0,Animation
10530,18.0,Drama
10530,10751.0,Family
8391,18.0,Drama
8391,10749.0,Romance
629,18.0,Drama
629,80.0,Crime
629,53.0,Thriller
117164,28.0,Action
117164,53.0,Thriller
117164,18.0,Drama
11448,35.0,Comedy
11448,10749.0,Romance
49133,18.0,Drama
49133,10769.0,Foreign
26441,28.0,Action
26441,12.0,Adventure
26441,35.0,Comedy
26441,10751.0,Family
97406,18.0,Drama
9089,35.0,Comedy
9089,18.0,Drama
9089,10749.0,Romance
11010,35.0,Comedy
11010,18.0,Drama
11010,10749.0,Romance
99040,53.0,Thriller
99040,18.0,Drama
99040,9648.0,Mystery
11359,12.0,Adventure
11359,10751.0,Family
11359,14.0,Fantasy
17182,18.0,Drama
17182,53.0,Thriller
2054,10402.0,Music
2054,18.0,Drama
2054,10751.0,Family
10607,35.0,Comedy
19760,35.0,Comedy
19760,10749.0,Romance
9536,35.0,Comedy
11525,28.0,Action
11525,878.0,Science Fiction
40628,18.0,Drama
40628,10751.0,Family
4482,35.0,Comedy
4482,10749.0,Romance
10634,35.0,Comedy
755,27.0,Horror
755,28.0,Action
755,53.0,Thriller
755,80.0,Crime
11859,28.0,Action
11859,53.0,Thriller
11859,10749.0,Romance
28387,35.0,Comedy
28387,18.0,Drama
