id,id_companies,companies
862,3,Pixar Animation Studios
8844,559,TriStar Pictures
8844,2550,Teitler Film
8844,10201,Interscope Communications
15602,6194,Warner Bros.
15602,19464,Lancaster Gate
31357,306,Twentieth Century Fox Film Corporation
11862,5842,Sandollar Productions
11862,9195,Touchstone Pictures
949,508,Regency Enterprises
949,675,Forward Pass
949,6194,Warner Bros.
11860,4,Paramount Pictures
11860,258,Scott Rudin Productions
11860,932,Mirage Enterprises
11860,5842,Sandollar Productions
11860,14941,Constellation Entertainment
11860,55873,Worldwide
11860,58079,Mont Blanc Entertainment GmbH
45325,2,Walt Disney Pictures
9091,33,Universal Pictures
9091,21437,Imperial Entertainment
9091,23770,Signature Entertainment
710,60,United Artists
710,7576,Eon Productions
9087,5,Columbia Pictures
9087,97,Castle Rock Entertainment
12110,5,Columbia Pictures
12110,97,Castle Rock Entertainment
12110,6368,Enigma Pictures
21032,33,Universal Pictures
21032,56,Amblin Entertainment
21032,4105,Amblimation
10858,915,Hollywood Pictures
10858,1504,Cinergi Pictures Entertainment
1408,183,Le Studio Canal+
1408,415,Laurence Mark Productions
1408,8411,Metro-Goldwyn-Mayer (MGM)
1408,14723,Carolco Pictures
524,33,Universal Pictures
524,10898,Légende Entreprises
524,11583,Syalis DA
524,11584,De Fina-Cappa
4584,441,Columbia Pictures Corporation
4584,932,Mirage Enterprises
5,14,Miramax Films
5,59,A Band Apart
9273,5682,O Entertainment
9273,6194,Warner Bros.
9273,10210,Morgan Creek Productions
11517,5,Columbia Pictures
8012,216,Jersey Films
8012,8411,Metro-Goldwyn-Mayer (MGM)
1710,508,Regency Enterprises
1710,10104,New Regency Pictures
9691,1885,Silver Pictures
9691,5358,Canal+
9691,6194,Warner Bros.
9691,10308,Dino De Laurentiis Company
9691,23397,Donner/Shuler-Donner Productions
9691,25061,Evansgideon/Lazar
12665,175,Caravan Pictures
12665,915,Hollywood Pictures
451,60,United Artists
451,15547,Intial Productions
16420,5,Columbia Pictures
16420,97,Castle Rock Entertainment
9263,12,New Line Cinema
17015,288,BBC Films
902,311,Procirep
902,590,Constellation Productions
902,591,France 3 Cinéma
902,592,Claudie Ossard Productions
902,850,Eurimages
902,851,MEDIA Programme of the European Union
902,1871,Cofimage 5
902,6639,Televisión Española (TVE)
902,7237,Tele München Fernseh Produktionsgesellschaft (TMG)
902,8170,Club d'Investissement Média
902,9335,Canal+ España
902,12009,Elías Querejeta Producciones Cinematográficas S.L.
902,18367,Centre National de la Cinématographie (CNC)
902,25020,Victoires Productions
902,25021,Constellation
902,25129,Lumière Pictures
902,47532,Canal+
902,68517,Studio Image
902,79437,Cofimage 4
902,79438,Ossane
902,79439,Phoenix Images
37557,2588,Ministère des Affaires Étrangères
37557,4507,Alpha Films
37557,23647,La Sept Cinéma
9909,915,Hollywood Pictures
9909,10103,Via Rosa Productions
9909,10288,Don Simpson/Jerry Bruckheimer Films
63,33,Universal Pictures
63,507,Atlas Entertainment
63,17031,Classico
78802,70801,Iwerks Entertainment
9598,33,Universal Pictures
9598,2537,Kennedy Miller Productions
47018,694,StudioCanal
47018,874,Cinéa
47018,8363,Euston Films
47018,19316,Freeway Films
47018,30226,European Co-production Fund
47018,31080,Polygram Filmed Entertainment
47018,44821,Orsans Productions
687,406,Havoc
687,1382,PolyGram Filmed Entertainment
687,10163,Working Title Films
139405,53390,Sony New Technologies
33689,6130,Dualstar Productions
33689,6194,Warner Bros.
33689,11661,Rysher Entertainment
33689,89131,Orr & Cruickshank
9603,4,Paramount Pictures
34615,53009,Miramax
34615,85681,Distant Horizon
34615,89840,Alpine Pty Limited
31174,871,British Screen
31174,34237,Mayfair Entertainment International
11443,175,Caravan Pictures
11443,476,Underworld Entertainment
11443,915,Hollywood Pictures
35196,14,Miramax Films
9312,12,New Line Cinema
9312,4174,Threshold Entertainment
577,364,The Rank Organisation
577,441,Columbia Pictures Corporation
11861,33,Universal Pictures
11861,56,Amblin Entertainment
807,12,New Line Cinema
807,4286,Juno Pix
807,65394,Cecchi Gori Pictures
10530,2,Walt Disney Pictures
10530,10217,Walt Disney Feature Animation
8391,2480,Alliance Communications Corporation
629,361,Blue Parrot Productions
629,9168,Bad Hat Harry Productions
11448,14,Miramax Films
11448,1030,Magnolia Pictures
26441,2,Walt Disney Pictures
26441,175,Caravan Pictures
97406,14,Miramax Films
97406,7832,CiBy 2000
124057,7320,Telefilm Canada
124057,10260,Melenny Productions
9089,4,Paramount Pictures
9089,802,Egg Pictures
9089,1382,PolyGram Filmed Entertainment
11359,4,Paramount Pictures
11359,441,Columbia Pictures Corporation
11359,862,The Kennedy/Marshall Company
17182,4,Paramount Pictures
2054,915,Hollywood Pictures
2054,916,The Charlie Mopic Company
2054,1382,PolyGram Filmed Entertainment
2054,10201,Interscope Communications
10607,14,Miramax Films
10607,3492,Island Pictures
10607,5441,Ivory Way Productions
19760,6194,Warner Bros.
19760,10210,Morgan Creek Productions
9536,8411,Metro-Goldwyn-Mayer (MGM)
9536,11061,Motion Picture Corporation of America (MPCA)
9536,36390,3 Arts Entertainment
9536,38003,Weasel Productions
11525,12,New Line Cinema
40628,14,Miramax Films
4482,82,Renn Productions
4482,1614,Les Films Flam
4482,3823,TF1 Films Production
4482,5358,Canal+
10634,12,New Line Cinema
755,59,A Band Apart
755,7405,Dimension Films
755,11705,Los Hooligans Productions
755,53009,Miramax
11859,1885,Silver Pictures
11859,6194,Warner Bros.
28387,5841,Castleberg Productions
28387,5842,Sandollar Productions
48750,1742,Les Films 13
48750,5358,Canal+
48750,22123,TF1
20927,12,New Line Cinema
20927,4286,Juno Pix
36929,6194,Warner Bros.
36929,10210,Morgan Creek Productions
9102,3388,The Movie Network (TMN)
9102,4899,Allegro Films
9102,7958,Fuji Eight Company Ltd.
9102,23096,Fries Film Group
9102,23097,Super Ecran
9102,23098,Triumph Films
124626,4606,Zweites Deutsches Fernsehen (ZDF)
124626,83201,Ciak Filmproduktion
124626,93174,Bluehorse Films
27526,14,Miramax Films
9623,441,Columbia Pictures Corporation
46785,38953,I.R.I.B. Channel 2
46785,38954,Ferdos Films
400,14,Miramax Films
880,575,Bergen Film
880,576,Bard Entertainments
880,577,NPS Televisie
146599,38196,BET Pictures
146599,38197,United Image Entertainme
8447,2492,Playhouse International Pictures
8447,8888,The Samuel Goldwyn Company
10534,915,Hollywood Pictures
10534,1644,Largo Entertainment
10534,1645,Scott Free Productions
17414,306,Twentieth Century Fox Film Corporation
17414,3311,Joe Wizan/Todd Black
13997,4,Paramount Pictures
2086,4,Paramount Pictures
61548,14,Miramax Films
61548,4665,Addis Wechsler Pictures
9095,559,TriStar Pictures
9095,18737,NFH Productions
12158,4,Paramount Pictures
9283,14,Miramax Films
9283,979,Woods Entertainment
9208,306,Twentieth Century Fox Film Corporation
9208,456,WCG Entertainment Productions
9208,11362,Mark Gordon Productions
40154,97,Castle Rock Entertainment
40154,75942,Midwinter Films
406,802,Egg Pictures
406,1382,PolyGram Filmed Entertainment
406,5358,Canal+
406,5869,Les Productions Lazennec
406,16366,La Sept Cinéma
406,22684,Kasso Inc. Productions
406,68517,Studio Image
406,68518,Cofinergie 6
45549,181,Channel Four Films
63076,3324,British Broadcasting Corporation (BBC)
63076,7025,Westdeutscher Rundfunk (WDR)
63076,12113,Canadian Broadcasting Corporation (CBC)
63076,12911,Cinemax Reel Life
63076,12912,InPictures
63076,12913,Lafayette Films
11062,5,Columbia Pictures
11062,97,Castle Rock Entertainment
13685,18,Gracie Films
13685,441,Columbia Pictures Corporation
47475,9195,Touchstone Pictures
2045,8411,Metro-Goldwyn-Mayer (MGM)
2045,10308,Dino De Laurentiis Company
2045,10355,Spelling Films
9614,33,Universal Pictures
9614,1606,Brillstein-Grey Entertainment
9614,3929,Robert Simonds Productions
688,56,Amblin Entertainment
688,171,Malpaso Productions
688,6194,Warner Bros.
10874,2,Walt Disney Pictures
10874,2504,Jim Henson Productions
10874,6254,"Jim Henson Company, The"
197,4564,Icon Entertainment International
197,7965,The Ladd Company
197,11353,B.H. Finance C.V.
103,441,Columbia Pictures Corporation
103,46059,Italo/Judeo Productions
103,46060,Bill/Phillips
33542,12,New Line Cinema
33542,2521,Golden Harvest Company
43566,175,Caravan Pictures
43566,915,Hollywood Pictures
71754,806,Téléfilm Canada
71754,2055,Skyline Films
71754,3498,Malofilm
71754,9116,Société de Développement des Entreprises Culturelles (SODEC)
71754,12745,British Screen Productions
71754,17027,National Film Board of Canada (NFB)
71754,22150,imX Communications
71754,38673,Glace Bay Pictures
71754,38674,Ciné Télé Action
71754,40534,Nova Scotia Film Development Corporation
71754,85045,Ranfilm
43612,83,France 2 Cinéma
43612,591,France 3 Cinéma
43612,694,StudioCanal
43612,883,Les Productions du Champ Poirier
43612,885,Téléma Productions
16934,3236,Bavaria Film and Television Fund
10324,559,TriStar Pictures
10324,11061,Motion Picture Corporation of America (MPCA)
78406,11308,Savoy Pictures
55731,559,TriStar Pictures
11066,4,Paramount Pictures
11104,540,Jet Tone Production
11104,10932,The Criterion Collection
37975,371,Cecchi Gori Group Tiger Cinematografica
2074,14,Miramax Films
27793,264,Studio Babelsberg
27793,1766,Dieter Geissler Filmproduktion
27793,1979,Cinevox Filmproduktion GmbH
27793,6194,Warner Bros.
27793,53009,Miramax
44284,22029,Canal Horizons
44284,22618,Mat Films
44284,71842,Cinétéléfilms
73067,8,Fine Line Features
73067,181,Channel Four Films
73067,1898,Bórd Scannán na hÉireann
73067,5358,Canal+
11863,4,Paramount Pictures
55475,93488,Cigua Films
55475,93489,D'Pelicula
9101,306,Twentieth Century Fox Film Corporation
123360,68229,Couch Potatoe Productions
39428,181,Channel Four Films
39428,38778,Academy
39428,94477,Mayfair Films
39428,94478,Iberoamerica Films
9302,1504,Cinergi Pictures Entertainment
9302,9195,Touchstone Pictures
11000,60,United Artists
16388,43,Fox Searchlight Pictures
9737,5,Columbia Pictures
9737,10288,Don Simpson/Jerry Bruckheimer Films
30765,6194,Warner Bros.
10474,12,New Line Cinema
10474,3492,Island Pictures
22279,8,Fine Line Features
22279,5996,BBC
22279,12745,British Screen Productions
22279,16027,Portman Productions
30157,181,Channel Four Films
30157,3644,Zenith Entertainment
30157,3906,American Playhouse
30157,7248,Union Générale Cinématographique (UGC)
30157,16366,La Sept Cinéma
30157,37909,True Fiction Pictures
568,23,Imagine Entertainment
568,33,Universal Pictures
11780,60,United Artists
11780,8989,Talisman Productions
34996,236,October Films
34996,1214,Guild
34996,5353,Fastnet Films
414,6194,Warner Bros.
414,31080,Polygram Filmed Entertainment
649,386,Paris Films Productions
649,387,Five Films
649,11290,Robert et Raymond Hakim
1873,5,Columbia Pictures
1873,97,Castle Rock Entertainment
5894,14,Miramax Films
5894,30334,InterAL
1775,1382,PolyGram Filmed Entertainment
8839,33,Universal Pictures
8839,56,Amblin Entertainment
8839,11098,The Harvey Entertainment Company
20649,33,Universal Pictures
20649,4319,40 Acres & A Mule Filmworks
10329,4,Paramount Pictures
10329,7383,"Kennedy/Marshall Company, The"
8963,915,Hollywood Pictures
8963,10288,Don Simpson/Jerry Bruckheimer Films
26564,4532,Superior Pictures
8068,5,Columbia Pictures
8068,11705,Los Hooligans Productions
8512,559,TriStar Pictures
8512,2510,Mundy Lane Entertainment
1572,306,Twentieth Century Fox Film Corporation
1572,1504,Cinergi Pictures Entertainment
13552,729,Why Not Productions
13552,1474,Desperate Pictures
13552,2765,Blurco
13552,18902,The Teen Angst Movie Company
259209,9195,Touchstone Pictures
259209,20740,Merchant Ivory Productions
6520,441,Columbia Pictures Corporation
6520,10158,First Knight Productions
9073,508,Regency Enterprises
9073,644,Alcor Films
9073,5358,Canal+
9073,5739,Donner/Shuler-Donner Productions
9073,6194,Warner Bros.
10428,60,United Artists
10428,87394,Suftley
17447,12909,The Booking Office
17447,12910,Workin' Man Films
9886,559,TriStar Pictures
9886,2480,Alliance Communications Corporation
9482,915,Hollywood Pictures
9482,1504,Cinergi Pictures Entertainment
19326,559,TriStar Pictures
9344,14,Miramax Films
9071,13187,JDI productions
9071,13190,Lemon Sky Productions
8973,60,United Artists
8973,3557,Seraphim Films
15730,1203,The Ontario Film Development Corporation
15730,2267,First Choice Films
15730,4350,Atlantis Films
15730,7320,Telefilm Canada
15730,7828,Max Films Productions
15730,11578,Super Écran
15730,35859,Société Générale des Industries Culturelles du Québec (SOGIC)
47608,9195,Touchstone Pictures
2293,33,Universal Pictures
2293,37,Gramercy Pictures
2293,11462,Alphaville Films
2293,16934,View Askew Productions
9070,306,Twentieth Century Fox Film Corporation
9070,2106,Saban Entertainment
9070,9255,Toei Company
68274,1382,PolyGram Filmed Entertainment
68274,10163,Working Title Films
48787,16561,Comet Film Produktion GmbH
48787,38959,Avrora Media
48787,38960,Cobblestone Pictures
34574,37897,Kino Link Company
1642,5,Columbia Pictures
11472,306,Twentieth Century Fox Film Corporation
11472,436,1492 Pictures
36196,37890,Party Productions
11980,7405,Dimension Films
58372,2492,Playhouse International Pictures
58372,3906,American Playhouse
58372,28205,"Samuel Goldwyn Company, The"
32646,1422,Killer Films
32646,3906,American Playhouse
32646,38692,Kardana Films
32646,39861,Chemical Films
10533,915,Hollywood Pictures
10533,1504,Cinergi Pictures Entertainment
10802,60,United Artists
10802,183,Le Studio Canal+
10802,14723,Carolco Pictures
10149,14,Miramax Films
18402,705,Spring Creek Productions
18402,6194,Warner Bros.
18402,16368,Hawn / Sylbert Movie Company
9348,8411,Metro-Goldwyn-Mayer (MGM)
139408,171,Malpaso Productions
139408,3864,Butcher's Run Films
139408,6194,Warner Bros.
281,574,Lightstorm Entertainment
5967,1080,Beta Film
5967,1147,Madeleine Films
5967,14680,Parc Film
79593,915,Hollywood Pictures
79593,1382,PolyGram Filmed Entertainment
79593,10201,Interscope Communications
47939,11308,Savoy Pictures
36834,6849,Société Française de Production (SFP)
36834,16026,FIT Productions
36834,16027,Portman Productions
9090,33,Universal Pictures
9090,56,Amblin Entertainment
3512,508,Regency Enterprises
3512,6194,Warner Bros.
3512,17825,Seagal/Nasso Productions
3512,21480,Victor Company of Japan (JVC)
3512,63906,Cutting Edge Films
52856,915,Hollywood Pictures
9560,306,Twentieth Century Fox Film Corporation
9560,2851,Zucker Brothers Productions
9804,33,Universal Pictures
9804,1073,Gordon Company
9804,1302,Davis Entertainment
9804,6092,Licht/Mueller Film Corporation
31611,6068,HBO
31611,6911,A BandApart
31611,11661,Rysher Entertainment
65796,60,United Artists
49805,4,Paramount Pictures
26258,306,Twentieth Century Fox Film Corporation
50797,5358,Canal+
50797,6453,Studio Trite
50797,6454,Caméra One
19155,6367,PolyGram Audiovisuel
19155,12745,British Screen Productions
76,98,Detour Film Production
76,6194,Warner Bros.
11017,6365,Jack Giarraputo Productions
37141,18189,Spelling Films International
9382,508,Regency Enterprises
9382,644,Alcor Films
9382,5358,Canal+
9382,10104,New Regency Pictures
9382,16192,Hera Productions
6715,33,Universal Pictures
6715,1595,Island World
18256,4867,Full Moon Entertainment
22625,364,The Rank Organisation
22625,1898,Bórd Scannán na hÉireann
22625,4127,Lantana
22625,23808,Price Entertainment
2292,14,Miramax Films
2292,16934,View Askew Productions
1909,12,New Line Cinema
1909,70,American Zoetrope
8984,6194,Warner Bros.
8984,11407,Baltimore Pictures
61813,15709,Keystone Pictures
61813,52095,Dream Man Productions Inc
4954,4,Paramount Pictures
62488,11308,Savoy Pictures
62488,11661,Rysher Entertainment
10531,8,Fine Line Features
10531,181,Channel Four Films
10531,826,Capitol Films
10531,3823,TF1 Films Production
10531,5358,Canal+
10531,8277,Flach Film
10531,68141,Les Films de l'Astre
11929,97,Castle Rock Entertainment
11929,441,Columbia Pictures Corporation
8467,12,New Line Cinema
8467,11061,Motion Picture Corporation of America (MPCA)
10451,5528,Ang Lee Productions
10451,10565,Good Machine
10451,25345,Central Motion Pictures
20156,14,Miramax Films
20156,10166,Alliance Entertainment
20156,12800,Ego Film Arts
18395,11308,Savoy Pictures
522,9195,Touchstone Pictures
397,306,Twentieth Century Fox Film Corporation
397,1382,PolyGram Filmed Entertainment
397,10163,Working Title Films
397,34207,Prufrock Pictures
10525,5,Columbia Pictures
10525,97,Castle Rock Entertainment
27985,306,Twentieth Century Fox Film Corporation
15789,2,Walt Disney Pictures
27303,559,TriStar Pictures
21183,21,Metro-Goldwyn-Mayer
10954,1429,Italian International Film
10954,2359,Stéphan Films
10954,37581,MG
72031,14,Miramax Films
14275,8,Fine Line Features
14275,13042,Kartemquin Films
1024,11,WingNut Films
1024,14,Miramax Films
1024,294,New Zealand Film Commission
1024,2306,Fontana Productions
17207,175,Caravan Pictures
17207,915,Hollywood Pictures
13701,5,Columbia Pictures
13701,2630,Majestic Films International
13701,4564,Icon Entertainment International
14819,2,Walt Disney Pictures
14819,175,Caravan Pictures
32631,33,Universal Pictures
32631,11393,Bregman/Baer Productions
11777,4,Paramount Pictures
628,360,Geffen Pictures
87729,2370,Merchant Ivory Productions
87729,9195,Touchstone Pictures
18713,175,Caravan Pictures
18713,9195,Touchstone Pictures
6280,33,Universal Pictures
6280,8816,Northern Lights Entertainment
9061,414,Fountainbridge Films
9061,6194,Warner Bros.
9061,36854,Lee Rich Productions
37108,2,Walt Disney Pictures
37108,4063,Trimark Pictures
6071,306,Twentieth Century Fox Film Corporation
11,1,Lucasfilm
11,306,Twentieth Century Fox Film Corporation
9587,5,Columbia Pictures
19101,6194,Warner Bros.
49980,181,Channel Four Films
49980,983,Parallax Pictures
17961,9209,MK2 Productions
18183,84803,Aviacsa
18183,84804,Cinevista
4476,348,Bedford Falls Productions
4476,559,TriStar Pictures
4476,1656,Pangaea
11008,33,Universal Pictures
47504,8,Fine Line Features
47504,12,New Line Cinema
47504,285,Live Entertainment
32325,181,Channel Four Films
32325,2832,Cineville
32325,3268,Home Box Office (HBO)
32325,36836,Showcase Entertaiment Inc.
43742,6194,Warner Bros.
28313,4,Paramount Pictures
11318,181,Channel Four Films
11318,798,Samuel Goldwyn Company
11318,23022,Close Call Films
3036,70,American Zoetrope
3036,559,TriStar Pictures
40490,2,Walt Disney Pictures
24070,559,TriStar Pictures
8986,4,Paramount Pictures
8986,862,The Kennedy/Marshall Company
10510,306,Twentieth Century Fox Film Corporation
17402,915,Hollywood Pictures
38722,70,American Zoetrope
38722,3906,American Playhouse
38722,20928,Majestic Films International
38722,89873,Newcomb Productions
8438,2428,Wolper Organization
8438,6194,Warner Bros.
11593,4,Paramount Pictures
11593,594,Capella International
11593,761,Cinehaus
1945,306,Twentieth Century Fox Film Corporation
1945,802,Egg Pictures
1945,1382,PolyGram Filmed Entertainment
39310,4319,40 Acres & A Mule Filmworks
109560,7260,TOEI
109560,42935,Distant Justice Joint Venture
56428,11139,Metrodome Films
63105,7954,Filmwerks
63105,21437,Imperial Entertainment
131957,23098,Triumph Films
241,508,Regency Enterprises
241,644,Alcor Films
241,4198,Ixtlan
241,6194,Warner Bros.
241,10104,New Regency Pictures
241,68551,J D Productions
9058,559,TriStar Pictures
527,293,Avalon Studios
527,294,New Zealand Film Commission
527,295,New Zealand On Air
18220,12,New Line Cinema
18220,17067,CineTel Pictures
18220,17068,MG Entertainment
6950,824,Kopelson Entertainment
6950,2154,Punch Productions
6950,6194,Warner Bros.
6950,16775,Arnold Kopelson Productions
101,5,Columbia Pictures
101,9,Gaumont
63020,28205,"Samuel Goldwyn Company, The"
2307,915,Hollywood Pictures
680,14,Miramax Films
680,59,A Band Apart
680,216,Jersey Films
41478,31080,Polygram Filmed Entertainment
41478,31715,Gramercy Pictures (I)
41478,37580,MVP Films
25296,5528,Ang Lee Productions
40156,288,BBC Films
40156,1382,PolyGram Filmed Entertainment
40156,53009,Miramax
11450,316,Wildwood Enterprises
11450,915,Hollywood Pictures
11450,11407,Baltimore Pictures
30304,84839,Cecile Company
30304,84840,Thousand Cranes Filmworks
10452,82,Renn Productions
10452,850,Eurimages
10452,5358,Canal+
10452,6187,ARD/Degeto Film GmbH
10452,6541,D.A. Films
10452,7089,France2 Cinéma
10452,8923,WMG Film
10452,18367,Centre National de la Cinématographie (CNC)
10452,18495,N.E.F. Filmproduktion und Vertriebs GmbH
10452,53009,Miramax
10452,75913,RCS Films & TV
12106,559,TriStar Pictures
161495,915,Hollywood Pictures
161495,10201,Interscope Communications
161495,12883,Nomura Babcock & Brown
3586,14,Miramax Films
110,38,Zespół Filmowy TOR
110,183,Le Studio Canal+
110,591,France 3 Cinéma
110,1245,Télévision Suisse-Romande
108,591,France 3 Cinéma
108,1610,CED Productions
109,183,Le Studio Canal+
109,591,France 3 Cinéma
109,850,Eurimages
92769,4899,Allegro Films
92769,16953,Norstar Entertainment
92769,24946,west wind entertainment
28033,4,Paramount Pictures
22586,4108,Rich Animation Studios
14334,29272,Jones Entertainment Group
14334,29273,Skerry Productions
2636,2596,Jerry Weintraub Productions
2636,6194,Warner Bros.
2636,11134,Iguana Producciones
2164,347,Centropolis Entertainment
2164,694,StudioCanal
2164,10320,Carolco Entertainment
11395,2,Walt Disney Pictures
11395,915,Hollywood Pictures
278,97,Castle Rock Entertainment
278,6194,Warner Bros.
9905,181,Channel Four Films
9905,359,Figment Films
9905,980,The Glasgow Film Fund
9905,1382,PolyGram Filmed Entertainment
87078,78701,Kino Korsakoff
12527,14,Miramax Films
12527,6647,Tabasco films
12527,8861,Instituto Mexicano de Cinematografía (IMCINE)
12527,10015,TeleMadrid
20306,2832,Cineville
20306,4063,Trimark Pictures
36614,798,Samuel Goldwyn Company
27993,12,New Line Cinema
27993,4733,1992 Number Four Limited Partnership
27993,4734,MHA
31439,1078,Shanghai Film Studios
31439,25299,Era International Ltd
9067,2231,Trilogy Entertainment Group
9059,33,Universal Pictures
9059,69626,Tales From The Crypt Holdings
193,4,Paramount Pictures
25066,4319,40 Acres & A Mule Filmworks
25066,11308,Savoy Pictures
12122,33,Universal Pictures
11381,4,Paramount Pictures
32636,58,Sony Pictures Classics
36141,14729,Populist Pictures
95963,11308,Savoy Pictures
95963,23808,Price Entertainment
95963,37350,"Jackson/McHenry Company,The"
1587,4,Paramount Pictures
9271,4,Paramount Pictures
