id,return
862,12.45
8844,4.04
15602,0
31357,5.09
11862,0
949,3.12
11860,0
45325,0
9091,1.84
710,6.07
9087,1.74
12110,0
21032,0
10858,0.31
1408,0.1
524,2.23
4584,8.18
5,1.07
9273,7.08
11517,0.59
8012,3.81
1710,0
9691,0.61
12665,0
451,13.83
16420,0
9263,2.28
17015,0
902,0.1
37557,0
9909,0
63,5.72
78802,0
9598,8.47
47018,0
687,3.58
139405,0
33689,0
9603,0
34615,0
31174,0
11443,0
35196,0
9312,6.79
577,1.06
11861,2.36
807,9.92
10530,6.29
8391,0
629,3.89
117164,0
11448,0.45
49133,0
26441,0
97406,0
124057,0
9089,0
11010,0
99040,0
11359,0
17182,0
2054,0
10607,0
19760,0
9536,0
11525,0
40628,0
4482,0
10634,8.06
755,1.36
11859,0.23
28387,0
48750,0
20927,0
36929,0.14
9102,0.29
124626,0
27526,0
9623,0
46785,0
400,0.07
880,0
146599,0
188588,0
8447,0
10534,0.27
17414,0
13997,0
2086,1
61548,0
9095,0.26
12158,1.41
9283,0
9208,3.01
40154,0
406,0
45549,0
63076,0
11062,0
13685,0.08
47475,0
2045,0
9614,3.43
688,7.58
11907,0
10874,0
89333,0
96357,0
197,2.92
103,21.74
33542,4.32
43566,0
71754,0
43612,0
51352,0
16934,0
10324,0
78406,0.25
55731,0
32119,0
11066,1.75
11104,0
37975,0
2074,2.1
27793,0
44284,0
290157,0
110972,0
32622,0
73067,0
11863,0.2
55475,0
124636,0
9101,0
123360,0
5757,0
39428,0
124639,0
9302,0
11000,5.98
249882,0
16388,0
9737,7.44
30765,0
10474,0
22279,0.21
30157,0
568,6.83
11780,1.13
34996,0
414,3.37
649,0
1873,0
5894,0.64
1775,0.02
8839,5.76
20649,0.52
10329,3.04
8963,2.97
26564,0
8068,3.63
8512,0.6
1572,4.07
13552,0
259209,0
6520,2.32
9073,0
10428,0.38
17447,0
9886,0.76
9482,1.26
19326,0
9344,4.94
9071,2.3
8973,0
15730,0
47608,0
2293,0.35
9070,4.4
68274,0
48787,0.5
34574,0
1642,5.03
11472,0
36196,3.15
11980,2
