id_director,name
7879,John Lasseter
4945,Joe Johnston
26502,Howard Deutch
2178,Forest Whitaker
56106,Charles Shyer
638,Michael Mann
2226,Sydney Pollack
18357,Peter Hewitt
37710,Peter Hyams
10702,Martin Campbell
3026,Rob Reiner
14639,Mel Brooks
21879,Simon Wells
1152,Oliver Stone
16938,Renny Harlin
1032,Martin Scorsese
1614,Ang Lee
3110,Allison Anders
3111,Alexandre Rockwell
2294,Robert Rodriguez
138,Quentin Tarantino
4489,Steve Oedekerk
52629,Joseph Ruben
5174,Barry Sonnenfeld
15148,Jon Amiel
7187,Richard Donner
56349,Victor Salva
6111,Mike Figgis
56710,Oliver Parker
15798,Lesli Linka Glatter
7017,Roger Michell
2419,Jean-Pierre Jeunet
13680,Marc Caro
607,Zhang Yimou
60295,John N. Smith
280,Terry Gilliam
2352,Jean-Jacques Annaud
58137,Chris Noonan
12952,Christopher Hampton
504,Tim Robbins
77867,Stephen Low
17167,Andy Tennant
57434,Amy Heckerling
16730,Darrell James Roodt
33315,Richard Loncraine
11447,Albert Hughes
11448,Allen Hughes
52405,Michael Hoffman
4014,Paul W.S. Anderson
5216,Gus Van Sant
3047,Jocelyn Moorhouse
7467,David Fincher
65530,Mike Gabriel
65531,Eric Goldberg
55439,Patricia Rozema
9032,Bryan Singer
100505,Richard W. Munchkin
1243,Woody Allen
128107,Gianni Amelio
71338,Holly Goldberg Sloan
140354,Ulu Grosbard
30586,Robert Tinnell
1038,Jodie Foster
28898,Michael Radford
38527,Robert Lepage
7908,Frank Oz
19304,John Schlesinger
18356,Stephen Herek
45649,Paris Barclay
49361,Bill Bennett
57870,Jason Bloom
69721,Farhad Mann
15890,James Foley
35137,Josiane Balasko
37932,F. Gary Gray
70850,Andrew Sipes
5656,Noah Baumbach
16862,Claude Lelouch
10296,Michael Goldenberg
58712,Steve Miner
25735,Christian Duguay
1080309,Susanne Ofteringer
2228,Sean Penn
18069,Brian Gibson
120229,Jafar Panahi
5501,Gary Fleder
13496,Marleen Gorris
27771,Tim Reid
117075,Henry Jaglom
55038,Philip Haas
578,Ridley Scott
29009,Ken Kwapis
58448,Penelope Spheeris
12840,John Badham
72624,John Duigan
3224,Stephen Frears
5140,Wes Craven
34849,Ted Demme
11401,John Woo
11181,Kenneth Branagh
2406,Mathieu Kassovitz
92561,Nick Broomfield
23213,Harold Becker
5655,Wes Anderson
14692,Nick Castle
21053,John Dahl
17494,Dennis Dugan
190,Clint Eastwood
18969,Doris Dörrie
65298,Brian Henson
64077,Robert Leacock
1234226,James Bruce
2461,Mel Gibson
44916,Stanley Tong
23393,Barbet Schroeder
184475,Mort Ransen
20849,Étienne Chatiliez
82293,Jon Blair
81020,Benjamin Ross
68185,Eric Schaeffer
12989,Andrew Davis
36147,Charles T. Kanganis
68215,Reginald Hudlin
12453,Wong Kar-wai
65314,Giuseppe Tornatore
17883,David O. Russell
16589,Peter MacDonald
239321,Moufida Tlatli
93632,Michel Negroponte
122583,Bryan Gordon
41670,Rebecca Miller
125543,Michael Lindsay-Hogg
15175,William Friedkin
114997,Ángel Muñiz
84445,Craig Baldwin
12920,David S. Ward
1077999,Mark Rappaport
45382,Dirk Shafer
93911,Terence Davies
18250,Jon Avnet
5342,Mike Nichols
1285121,Jakov Sedlar
12833,Edward Burns
865,Michael Bay
56828,Christopher Cain
65390,Scott Kalvert
10723,Mike Newell
91343,Hal Hartley
6159,Ron Howard
30365,Michael Caton-Jones
39104,Abel Ferrara
5572,Joel Schumacher
793,Luis Buñuel
19665,John Boorman
46391,Paul Auster
39819,Wayne Wang
17087,Michael Moore
11887,Brad Silberling
5281,Spike Lee
664,Frank Marshall
893,Tony Scott
17447,Terry Zwigoff
21712,Carl Franklin
1090,John McTiernan
19224,Gregg Araki
68774,Christopher Menaul
3415,Jerry Zucker
56998,Dwight H. Little
1978,Iain Softley
252806,Christopher Ashley
59997,Robert Longo
33279,Danny Cannon
58316,John Fortenberry
51917,Larry Clark
6400,Tom DiCillo
31211,Clive Barker
38516,Denys Arcand
42617,Antonia Bird
19303,Kevin Smith
42111,Bryan Spicer
44847,David Anspaugh
58384,Anthony Waller
54469,Michael Almereyda
11472,Irwin Winkler
10965,Chris Columbus
56714,Daisy von Scherler Mayer
28902,Gregory Widen
26487,Norman René
16863,Todd Haynes
8965,Roland Joffé
10491,Paul Verhoeven
5306,Lasse Hallström
21370,Roger Donaldson
408,James Keach
14392,Kathryn Bigelow
24882,Jacques Demy
17880,Wesley Strick
63713,Martha Coolidge
1128,Agnieszka Holland
20237,Beeban Kidron
32277,Geoff Murphy
3092,Diane Keaton
588623,Douglas Keeve
22767,Alfonso Aráu
8300,Kevin Reynolds
73494,Desmond Nakano
1723,Walter Hill
17309,Greg Beeman
82796,Nikita Mikhalkov
1364800,Milčo Mančevski
564,Richard Linklater
57691,Tamra Davis
43468,Guy Ferland
18378,Herbert Ross
44990,Peter Horton
27991,Stuart Gordon
19969,Pat O'Connor
25210,Jeremy Leven
8246,Barry Levinson
225065,René Bonnière
58154,Jack Baran
3556,Roman Polanski
18596,Taylor Hackford
7396,Peter Farrelly
7395,Bobby Farrelly
56205,Atom Egoyan
1201,Garry Marshall
510,Tim Burton
8844,Lawrence Kasdan
7904,Billy Crystal
148119,Phillip Borsos
15775,Kevin Lima
56147,Paul Brizzi
57090,Brett Leonard
87695,Carlo Carlei
67794,Gérard Corbiau
1566166,Mark Lewis
97755,Charles Burnett
122449,Steve James
108,Peter Jackson
77121,Randall Miller
57851,Bernard Rose
32593,Steven Brill
1203,J. F. Lawton
64061,Fred Schepisi
17016,Neil Jordan
54441,James Ivory
73668,James Melkonian
8858,Ivan Reitman
56872,Arne Glimcher
62043,Michael Gottlieb
1,George Lucas
58094,Gillian Armstrong
11218,Alfonso Cuarón
15488,Ken Loach
