name,id
Robin Williams,8844
Robert De Niro,949
Danny Trejo,949
Frank Welker,21032
Robert De Niro,524
Bruce Willis,5
Nicolas Cage,451
Bruce Willis,63
Christopher Plummer,63
Susan Sarandon,687
James Earl Jones,34615
Keith David,11443
Morgan Freeman,807
Frank Welker,10530
Malcolm McDowell,124057
Keith David,17182
Harvey Keitel,755
Danny Trejo,755
Alec Baldwin,9623
Christopher Lloyd,400
Steve Buscemi,400
Christopher Walken,400
Christopher Walken,2086
Brian Cox,197
Robert De Niro,103
Harvey Keitel,103
Jackie Chan,33542
Liam Neeson,43566
John Goodman,110972
Harry Dean Stanton,9101
Robin Williams,11000
Liam Neeson,11780
John Hurt,11780
Brian Cox,11780
Christopher Walken,34996
Harvey Keitel,5894
Keith David,5894
Harvey Keitel,20649
John Turturro,20649
Keith David,20649
Steve Buscemi,8068
Danny Trejo,8068
Bruce Willis,1572
Samuel L. Jackson,1572
M. Emmet Walsh,9073
Max von Sydow,9482
Steve Buscemi,9071
Whoopi Goldberg,68274
Robin Williams,11472
Christopher Walken,11980
Robert Duvall,10533
Harvey Keitel,10149
Robert Duvall,18402
Frank Welker,9348
Robert Duvall,139408
John Leguizamo,9090
Robin Williams,9090
John Turturro,52856
Anthony Quinn,9560
Dennis Hopper,9804
John Hurt,65796
Steve Buscemi,11017
Whoopi Goldberg,9382
Donald Sutherland,8984
Christopher Plummer,11929
Frank Welker,15789
Samuel L. Jackson,21183
M. Emmet Walsh,72031
James Earl Jones,87729
Samuel L. Jackson,6071
Nicolas Cage,6071
James Earl Jones,11
Susan Sarandon,9587
Danny Trejo,32325
Samuel L. Jackson,28313
Robert De Niro,3036
Malcolm McDowell,8986
Bruce Willis,11593
Liam Neeson,1945
Morgan Freeman,6950
Donald Sutherland,6950
John Leguizamo,2307
Samuel L. Jackson,680
Bruce Willis,680
Harvey Keitel,680
Christopher Walken,680
Steve Buscemi,680
M. Emmet Walsh,41478
John Turturro,11450
Keith David,12106
Christopher Lloyd,36357
M. Emmet Walsh,92769
Eric Roberts,2636
Morgan Freeman,278
Malcolm McDowell,9067
Malcolm McDowell,193
Whoopi Goldberg,193
Willem Dafoe,46797
Willem Dafoe,9331
James Earl Jones,9331
Susan Sarandon,10731
Whoopi Goldberg,10464
John Goodman,888
Nicolas Cage,10660
James Earl Jones,8587
Whoopi Goldberg,8587
Frank Welker,8587
Danny Glover,9359
James Earl Jones,36593
James Earl Jones,36593
Robert Duvall,12280
Keith David,2788
Nicolas Cage,10427
Dennis Hopper,10427
Susan Sarandon,49803
Dennis Hopper,1637
Christopher Plummer,10395
Gérard Depardieu,41580
Christopher Lloyd,2758
Steve Buscemi,13595
Robin Williams,46924
